photo_date,exp_start,treatment,colony,polyps,length_um,age
01/07/2020,11/06/2020,SD,L1,2,2358.617,20
01/07/2020,11/06/2020,SD,L2,3,2551.399,20
01/07/2020,11/06/2020,SS,M2,1,2074.377,20
01/07/2020,11/06/2020,SS,M2,2,2429.577,20
01/07/2020,11/06/2020,SS,M2,1,2677.597,20
01/07/2020,11/06/2020,SS,N1,1,2146.832,20
01/07/2020,11/06/2020,SS,N2,1,2005.24,20
01/07/2020,11/06/2020,SS,N3,1,2076.957,20
01/07/2020,11/06/2020,SS,N4,1,2019.32,20
01/07/2020,11/06/2020,SS,N5,1,2008.927,20
01/07/2020,11/06/2020,SS,N6,1,2687.952,20
01/07/2020,11/06/2020,SD,O3,1,2181.15,20
01/07/2020,11/06/2020,SD,O4,1,1735.668,20
01/07/2020,08/06/2020,DS,Q1,1,1257.942,23
01/07/2020,08/06/2020,DS,Q3,1,1423.962,23
01/07/2020,08/06/2020,DD,S3,1,1706.462,23
13/07/2020,08/06/2020,DS,J1,2,1869.311,35
13/07/2020,08/06/2020,DS,J3,1,1816.71,35
13/07/2020,08/06/2020,DS,J5,1,1572.881,35
13/07/2020,08/06/2020,DD,K1,5,2408.947,35
13/07/2020,08/06/2020,DD,K2,3,1326.545,35
13/07/2020,11/06/2020,SD,L1,6,2444.873,32
13/07/2020,11/06/2020,SD,L1,2,2314.768,32
13/07/2020,11/06/2020,SD,L2,3,1659.832,32
13/07/2020,11/06/2020,SS,M3,4,2866.524,32
13/07/2020,11/06/2020,SS,N1,4,2395.659,32
13/07/2020,11/06/2020,SS,N6,7,3223.157,32
13/07/2020,11/06/2020,SD,O3,4,2407.858,32
13/07/2020,11/06/2020,SD,O4,3,2229.008,32
13/07/2020,08/06/2020,DS,Q1,2,2117.243,35
13/07/2020,08/06/2020,DS,Q3,1,1817.756,35
15/07/2020,08/06/2020,DS,J1,2,1835.579,37
15/07/2020,08/06/2020,DS,J5,1,1702.209,37
15/07/2020,08/06/2020,DD,K1,5,2408.202,37
15/07/2020,08/06/2020,DD,K2,3,2322.399,37
15/07/2020,11/06/2020,SD,L1,3,2300.967,34
15/07/2020,11/06/2020,SD,L1,6,2312.546,34
15/07/2020,11/06/2020,SD,L2,4,2646.761,34
15/07/2020,11/06/2020,SS,M3,3,2228.364,34
15/07/2020,11/06/2020,SS,M3,5,2533.538,34
15/07/2020,11/06/2020,SS,M3,4,2756.154,34
15/07/2020,11/06/2020,SS,N1,3,2295.559,34
15/07/2020,11/06/2020,SS,N2,3,2883.622,34
15/07/2020,11/06/2020,SS,N4,5,2373.588,34
15/07/2020,11/06/2020,SS,N6,7,1913.879,34
15/07/2020,11/06/2020,SD,O3,4,2499.181,34
15/07/2020,11/06/2020,SD,O4,3,2357.887,34
15/07/2020,08/06/2020,DS,Q1,2,2142.958,37
15/07/2020,08/06/2020,DS,Q3,1,1913.52,37
15/07/2020,08/06/2020,DD,S3,1,1666.504,37
19/07/2020,08/06/2020,DS,J1,2,1789.567,41
19/07/2020,08/06/2020,DS,J3,1,1721.771,41
19/07/2020,08/06/2020,DS,J5,1,1634.059,41
19/07/2020,08/06/2020,DD,K1,5,2413.047,41
19/07/2020,08/06/2020,DD,K2,4,2232.375,41
19/07/2020,11/06/2020,SD,L1,6,2283.76,38
19/07/2020,11/06/2020,SD,L1,3,2326.741,38
19/07/2020,11/06/2020,SD,L2,4,2691.582,38
19/07/2020,11/06/2020,SS,M2,5,2564.126,38
19/07/2020,11/06/2020,SS,M3,4,2869.961,38
19/07/2020,11/06/2020,SS,N1,4,2461.232,38
19/07/2020,11/06/2020,SS,N2,3,2922.357,38
19/07/2020,11/06/2020,SS,N3,3,2497.618,38
19/07/2020,11/06/2020,SS,N4,4,2407.969,38
19/07/2020,11/06/2020,SS,N6,7,3177.143,38
19/07/2020,11/06/2020,SD,O3,4,2445.393,38
19/07/2020,11/06/2020,SD,O4,4,2266.565,38
19/07/2020,11/06/2020,SD,O6,1,2199.873,38
19/07/2020,08/06/2020,DS,Q1,2,2380.513,41
19/07/2020,08/06/2020,DS,Q3,1,2119.23,41
19/07/2020,11/06/2020,SS,Z2,5,2418.578,38
19/07/2020,11/06/2020,SS,Z3,4,2943.157,38
19/07/2020,11/06/2020,SS,Z6,6,3365.017,38
21/07/2020,08/06/2020,DS,J1,2,1700.992,43
21/07/2020,08/06/2020,DS,J5,1,1688.684,43
21/07/2020,08/06/2020,DD,K1,5,2281.856,43
21/07/2020,08/06/2020,DD,K2,5,2454.827,43
21/07/2020,11/06/2020,SD,L1,6,3203.387,40
21/07/2020,11/06/2020,SD,L1,3,2404.538,40
21/07/2020,11/06/2020,SD,L2,4,2753.533,40
21/07/2020,11/06/2020,SS,M2,3,2228.966,40
21/07/2020,11/06/2020,SS,M2,4,2823.76,40
21/07/2020,11/06/2020,SS,M2,5,2543.48,40
21/07/2020,11/06/2020,SS,N1,4,2407.728,40
21/07/2020,11/06/2020,SS,N2,4,2431.827,40
21/07/2020,11/06/2020,SS,N2,3,2883.459,40
21/07/2020,11/06/2020,SS,N6,7,3435.035,40
21/07/2020,11/06/2020,SD,O3,4,2527.938,40
21/07/2020,11/06/2020,SD,O4,4,2349.355,40
21/07/2020,11/06/2020,SD,O6,3,2207.559,40
21/07/2020,08/06/2020,DS,Q1,3,2564.215,43
21/07/2020,08/06/2020,DS,Q3,1,2210.826,43
21/07/2020,11/06/2020,SS,Z1,5,2500.585,40
21/07/2020,11/06/2020,SS,Z3,4,3064.524,40
21/07/2020,11/06/2020,SS,Z5,2,1956.634,40
21/07/2020,11/06/2020,SS,Z6,7,3400.421,40
23/07/2020,08/06/2020,DS,J1,2,1710.116,45
23/07/2020,08/06/2020,DS,J3,1,1839.777,45
23/07/2020,08/06/2020,DS,J5,1,1678.445,45
23/07/2020,08/06/2020,DD,K1,5,2304.121,45
23/07/2020,08/06/2020,DD,K2,4,2339.035,45
23/07/2020,11/06/2020,SD,L1,6,3181.343,42
23/07/2020,11/06/2020,SD,L1,3,2356.527,42
23/07/2020,11/06/2020,SD,L2,4,2759.166,42
23/07/2020,11/06/2020,SS,M2,5,2285.357,42
23/07/2020,11/06/2020,SS,N1,1,2298.873,42
23/07/2020,11/06/2020,SS,N2,3,2437.561,42
23/07/2020,11/06/2020,SS,N2,4,3004.387,42
23/07/2020,11/06/2020,SS,N6,7,3327.848,42
23/07/2020,08/06/2020,DS,Q1,3,2568.176,45
23/07/2020,08/06/2020,DS,Q3,1,1967.124,45
23/07/2020,11/06/2020,SS,Z2,5,2479.983,42
23/07/2020,11/06/2020,SS,Z2,5,2393.983,42
23/07/2020,11/06/2020,SS,Z3,5,2900.224,42
23/07/2020,11/06/2020,SS,Z4,3,1933.581,42
23/07/2020,11/06/2020,SS,Z5,3,1968.481,42
23/07/2020,11/06/2020,SS,Z6,7,3418.756,42
02/08/2020,08/06/2020,DS,J1,3,1923.935,55
02/08/2020,08/06/2020,DS,J5,1,2633.865,55
02/08/2020,08/06/2020,DD,K1,5,2459.281,55
02/08/2020,08/06/2020,DD,K2,4,2228.775,55
02/08/2020,11/06/2020,SD,L1,6,3320.437,52
02/08/2020,11/06/2020,SD,L1,3,2435.99,52
02/08/2020,11/06/2020,SD,L2,4,2784.681,52
